arm	programme	seed	klass	level	lid	width	aspect	area	q_width	q_proportion	q_size	q_crinkliness	old_proportion	old_size
bk9	health-centre	2	o	0	rrrrr	1.197	4.052	5.820	0.000	0.999	1.000	1.000	0.000	0.917
bk9	harbor-house	0	o	0	llllr	2.379	3.404	19.755	0.118	0.999	1.000	1.000	0.001	0.370
bk9	harbor-house	0	c	0	llr	2.912	4.104	36.049	1.000	1.000	1.000	0.000	0.000	0.036
bk9	harbor-house	0	o	0	lrlllr	4.524	1.227	25.468	1.000	1.000	1.000	0.000	1.000	0.191
bk9	harbor-house	0	c	0	lrllr	3.580	2.544	33.420	1.000	1.000	1.000	0.000	0.113	0.058
bk9	harbor-house	0	c	0	lrr	3.166	3.449	35.588	1.000	1.000	1.000	0.187	0.001	0.040
bk9	harbor-house	0	o	0	rlllrr	4.610	1.081	23.309	1.000	1.000	1.000	1.000	1.000	0.250
bk9	harbor-house	0	c	0	rlrll	2.251	5.994	31.651	0.758	1.000	1.000	0.250	0.000	0.078
bk9	harbor-house	0	c	0	rrlr	2.266	1.962	10.197	0.798	1.000	1.000	0.209	0.652	0.767
bk9	harbor-house	0	o	0	rrrlr	3.723	1.217	17.081	1.000	1.000	1.000	1.000	1.000	0.475
bk9	harbor-house	0	o	0	rrrr	2.636	1.735	12.201	0.479	1.000	1.000	1.000	0.895	0.684
bk9	harbor-house	0	o	1	lllrr	4.041	1.862	31.008	1.000	1.000	1.000	1.000	0.770	0.086
bk9	harbor-house	0	o	1	llrllr	0.075	39.164	0.219	0.000	0.753	1.000	1.000	0.000	1.000
bk9	harbor-house	0	c	1	lrll	9.049	1.010	84.681	1.000	1.000	1.000	0.000	1.000	0.000
bk9	harbor-house	0	c	1	rlrl	13.589	1.009	194.238	1.000	1.000	1.000	0.000	1.000	0.000
bk9	harbor-house	0	c	1	rlrrl	3.326	2.264	25.565	1.000	1.000	1.000	0.517	0.311	0.189
bk9	harbor-house	1	c	0	lllr	7.790	1.251	77.948	1.000	1.000	1.000	0.000	1.000	0.000
bk9	harbor-house	1	o	0	llrl	4.438	1.820	36.605	1.000	1.000	1.000	1.000	0.815	0.033
bk9	harbor-house	1	c	0	lrll	3.661	1.884	25.736	1.000	1.000	1.000	0.565	0.744	0.185
bk9	harbor-house	1	o	0	lrlrr	2.429	2.790	16.788	0.164	1.000	1.000	1.000	0.036	0.487
bk9	harbor-house	1	c	0	lrrl	4.336	1.354	25.831	1.000	1.000	1.000	0.248	1.000	0.182
bk9	harbor-house	1	o	0	rlrll	3.623	2.212	29.720	1.000	1.000	1.000	0.560	0.363	0.105
bk9	harbor-house	1	c	0	rlrrlrr	3.229	1.725	18.277	1.000	1.000	1.000	0.000	0.904	0.427
bk9	harbor-house	1	c	0	rlrrrrr	2.240	2.361	12.016	0.725	1.000	1.000	0.000	0.227	0.692
bk9	harbor-house	1	c	0	rrllr	1.990	1.382	5.510	0.122	1.000	1.000	0.975	1.000	0.925
bk9	harbor-house	1	c	1	llll	4.355	1.825	35.439	1.000	1.000	1.000	0.830	0.809	0.041
bk9	harbor-house	1	c	1	lllr	7.790	1.251	77.948	1.000	1.000	1.000	0.000	1.000	0.000
bk9	harbor-house	1	o	1	llrrrr	1.386	3.134	6.100	0.000	0.999	1.000	1.000	0.005	0.909
bk9	harbor-house	1	o	1	lrlrl	3.469	1.970	24.158	1.000	1.000	1.000	1.000	0.643	0.226
bk9	harbor-house	1	c	1	lrrl	4.336	1.354	25.831	1.000	1.000	1.000	0.248	1.000	0.182
bk9	harbor-house	1	o	1	lrrrrr	2.632	1.317	9.207	0.472	1.000	1.000	1.000	1.000	0.806
bk9	harbor-house	1	c	1	rllll	3.201	1.783	18.542	1.000	1.000	1.000	0.925	0.852	0.416
bk9	harbor-house	1	o	1	rllr	5.888	1.231	43.618	1.000	1.000	1.000	1.000	1.000	0.008
bk9	harbor-house	1	c	1	rlrlllr	2.279	1.613	8.466	0.832	1.000	1.000	0.543	0.975	0.833
bk9	harbor-house	1	o	1	rlrlr	3.561	1.699	21.918	1.000	1.000	1.000	1.000	0.923	0.294
bk9	harbor-house	1	c	1	rlrr	13.141	1.087	195.431	1.000	1.000	1.000	0.000	1.000	0.000
bk9	harbor-house	2	c	0	lllr	4.097	1.126	19.156	1.000	1.000	1.000	0.960	1.000	0.392
bk9	harbor-house	2	c	0	llrll	2.611	1.839	12.696	1.000	1.000	1.000	0.113	0.795	0.663
bk9	harbor-house	2	o	0	llrlr	2.591	1.839	12.509	0.396	1.000	1.000	0.120	0.795	0.671
bk9	harbor-house	2	c	0	lrrllr	2.229	3.258	16.532	0.693	1.000	1.000	0.000	0.002	0.498
bk9	harbor-house	2	c	0	lrrlrrlr	4.116	1.292	22.239	1.000	1.000	1.000	0.000	1.000	0.283
bk9	harbor-house	2	c	0	lrrrlrl	2.487	1.487	9.297	1.000	1.000	1.000	0.531	1.000	0.802
bk9	harbor-house	2	c	0	rllr	4.512	1.070	22.041	1.000	1.000	1.000	0.190	1.000	0.290
bk9	harbor-house	2	o	0	rlrr	0.896	11.808	9.732	0.000	0.979	1.000	1.000	0.000	0.785
bk9	harbor-house	2	c	0	rrll	6.642	1.091	49.180	1.000	1.000	1.000	0.000	1.000	0.002
bk9	harbor-house	2	c	1	lrl	6.688	2.782	131.643	1.000	1.000	1.000	0.000	0.037	0.000
bk9	harbor-house	2	c	1	lrrl	11.337	1.290	173.352	1.000	1.000	1.000	0.000	1.000	0.000
bk9	harbor-house	2	c	1	rllll	3.251	1.362	14.555	1.000	1.000	1.000	0.217	1.000	0.583
bk9	harbor-house	2	o	1	rllrr	2.417	1.875	11.057	0.151	1.000	1.000	1.000	0.755	0.732
bk9	harbor-house	2	c	1	rlrl	9.577	1.088	102.512	1.000	1.000	1.000	0.986	1.000	0.000
bk9	harbor-house	2	o	1	rrlll	3.046	2.367	22.452	1.000	1.000	1.000	1.000	0.222	0.276
bk9	harbor-house	2	o	1	rrllrl	3.595	1.243	16.283	1.000	1.000	1.000	1.000	1.000	0.508
bk9	harbor-house	2	c	1	rrrr	1.991	1.197	4.773	0.123	1.000	1.000	0.000	1.000	0.944
bk9	maple-court	0	o	0	llllr	2.375	2.652	15.078	0.114	1.000	1.000	0.000	0.070	0.560
bk9	maple-court	0	o	0	llrlr	5.279	1.123	31.385	1.000	1.000	1.000	1.000	1.000	0.081
bk9	maple-court	0	c	0	llrrl	4.936	1.397	34.325	1.000	1.000	1.000	0.000	1.000	0.050
bk9	maple-court	0	o	0	lrlll	3.915	1.578	24.382	1.000	1.000	1.000	1.000	0.988	0.219
bk9	maple-court	0	c	0	lrlrl	5.273	1.243	34.694	1.000	1.000	1.000	0.214	1.000	0.046
bk9	maple-court	0	c	0	lrrlr	4.347	1.652	31.514	1.000	1.000	1.000	0.000	0.955	0.079
bk9	maple-court	0	c	0	rlll	6.455	1.027	43.172	1.000	1.000	1.000	0.000	1.000	0.009
bk9	maple-court	0	c	0	rlrl	6.142	1.211	46.123	1.000	1.000	1.000	0.000	1.000	0.004
bk9	maple-court	0	c	0	rrlrl	2.447	3.162	19.024	1.000	1.000	1.000	0.000	0.004	0.397
bk9	maple-court	0	o	0	rrlrr	2.459	1.887	11.441	0.197	1.000	1.000	0.000	0.741	0.716
bk9	maple-court	0	o	0	rrrl	3.075	1.926	18.276	1.000	1.000	1.000	0.867	0.696	0.427
bk9	maple-court	0	c	1	lll	7.860	1.535	96.265	1.000	1.000	1.000	0.000	0.998	0.000
bk9	maple-court	0	o	1	llrl	5.270	1.641	45.781	1.000	1.000	1.000	0.000	0.961	0.005
bk9	maple-court	0	c	1	lrlrl	5.273	1.243	34.694	1.000	1.000	1.000	0.971	1.000	0.046
bk9	maple-court	0	c	1	rlllrl	2.432	1.341	7.943	1.000	1.000	1.000	0.731	1.000	0.851
bk9	maple-court	0	o	1	rlllrr	2.437	1.328	7.898	0.172	1.000	1.000	1.000	1.000	0.853
bk9	maple-court	0	o	1	rrllr	2.866	4.326	35.803	0.905	0.998	1.000	1.000	0.000	0.038
bk9	maple-court	0	c	1	rrlrl	2.447	3.162	19.024	1.000	1.000	1.000	0.999	0.004	0.397
bk9	maple-court	0	c	2	llll	7.860	1.264	79.058	1.000	1.000	1.000	0.910	1.000	0.000
bk9	maple-court	0	o	2	lllr	2.154	3.693	17.208	0.019	0.999	1.000	1.000	0.000	0.470
bk9	maple-court	0	c	2	llrrl	4.936	1.397	34.325	1.000	1.000	1.000	0.513	1.000	0.050
bk9	maple-court	0	o	2	llrrr	3.764	1.837	26.237	1.000	1.000	1.000	1.000	0.796	0.173
bk9	maple-court	0	c	2	lrlrlr	2.026	3.228	13.304	0.174	1.000	1.000	0.000	0.003	0.637
bk9	maple-court	0	c	2	rlllrl	2.432	1.341	7.943	1.000	1.000	1.000	0.731	1.000	0.851
bk9	maple-court	0	o	2	rlrl	6.142	1.262	48.094	1.000	1.000	1.000	1.000	1.000	0.003
bk9	maple-court	0	c	2	rlrr	2.249	2.757	14.000	0.753	1.000	1.000	0.755	0.042	0.607
bk9	maple-court	0	o	2	rrlll	7.659	1.630	96.350	1.000	1.000	1.000	1.000	0.967	0.000
bk9	maple-court	0	c	2	rrlrl	2.447	3.162	19.024	1.000	1.000	1.000	0.999	0.004	0.397
bk9	maple-court	1	c	0	lllll	3.866	1.457	21.923	1.000	1.000	1.000	0.947	1.000	0.293
bk9	maple-court	1	o	0	lllr	7.543	1.198	68.939	1.000	1.000	1.000	1.000	1.000	0.000
bk9	maple-court	1	c	0	llrlrl	2.635	1.590	11.093	1.000	1.000	1.000	0.000	0.984	0.731
bk9	maple-court	1	c	0	llrrl	4.202	1.655	29.456	1.000	1.000	1.000	0.293	0.953	0.109
bk9	maple-court	1	o	0	lrll	6.028	1.466	53.895	1.000	1.000	1.000	1.000	1.000	0.001
bk9	maple-court	1	c	0	lrrlrl	2.478	1.668	10.300	1.000	1.000	1.000	0.995	0.945	0.763
bk9	maple-court	1	o	0	lrrr	3.711	2.341	32.406	1.000	1.000	1.000	0.934	0.243	0.069
bk9	maple-court	1	c	0	rlr	6.785	2.077	96.441	1.000	1.000	1.000	0.000	0.514	0.000
bk9	maple-court	1	c	0	rrllrl	2.537	1.352	8.722	1.000	1.000	1.000	0.999	1.000	0.824
bk9	maple-court	1	c	0	rrrlr	1.983	2.260	8.935	0.113	1.000	1.000	0.189	0.315	0.816
bk9	maple-court	1	c	1	lllll	3.866	1.457	21.923	1.000	1.000	1.000	0.947	1.000	0.293
bk9	maple-court	1	c	1	llrlr	2.635	2.946	20.650	1.000	1.000	1.000	0.000	0.015	0.337
bk9	maple-court	1	o	1	lrlr	2.672	2.247	16.107	0.551	1.000	1.000	0.442	0.327	0.516
bk9	maple-court	1	o	1	lrrlr	2.478	3.165	19.638	0.221	0.999	1.000	1.000	0.004	0.374
bk9	maple-court	1	c	1	rlr	6.785	2.077	96.441	1.000	1.000	1.000	0.000	0.514	0.000
bk9	maple-court	1	c	1	rrrrl	4.690	1.049	23.150	1.000	1.000	1.000	0.999	1.000	0.255
bk9	maple-court	1	o	1	rrrrr	2.683	1.749	12.673	0.573	1.000	1.000	1.000	0.883	0.664
bk9	maple-court	1	c	2	lllll	3.866	1.457	21.923	1.000	1.000	1.000	0.947	1.000	0.293
bk9	maple-court	1	c	2	llrr	6.976	1.066	52.073	1.000	1.000	1.000	0.539	1.000	0.001
bk9	maple-court	1	c	2	lrlr	2.672	2.247	16.107	1.000	1.000	1.000	0.442	0.327	0.516
bk9	maple-court	1	c	2	rllrlr	2.042	1.126	4.700	0.201	1.000	1.000	0.983	1.000	0.945
bk9	maple-court	1	o	2	rlrll	6.785	1.411	65.318	1.000	1.000	1.000	1.000	1.000	0.000
bk9	maple-court	1	c	2	rlrr	2.093	3.253	14.376	0.308	1.000	1.000	0.789	0.002	0.590
bk9	maple-court	1	c	2	rrrrl	4.690	1.049	23.150	1.000	1.000	1.000	0.839	1.000	0.255
bk9	maple-court	2	c	0	lllll	6.901	1.061	50.994	1.000	1.000	1.000	0.000	1.000	0.001
bk9	maple-court	2	c	0	llrrlrr	1.985	1.490	5.875	0.116	1.000	1.000	0.918	1.000	0.916
bk9	maple-court	2	c	0	llrrr	2.879	2.035	16.989	1.000	1.000	1.000	0.000	0.564	0.479
bk9	maple-court	2	c	0	lrlr	4.220	1.985	35.741	1.000	1.000	1.000	0.113	0.624	0.038
bk9	maple-court	2	c	0	lrrllr	3.460	1.372	16.514	1.000	1.000	1.000	0.903	1.000	0.499
bk9	maple-court	2	o	0	lrrr	2.474	4.560	28.091	0.215	0.998	1.000	1.000	0.000	0.134
bk9	maple-court	2	o	0	rllrr	5.624	1.202	38.346	1.000	1.000	1.000	0.000	1.000	0.023
bk9	maple-court	2	c	0	rlrll	3.118	1.872	18.333	1.000	1.000	1.000	0.000	0.758	0.424
bk9	maple-court	2	o	0	rlrlrrlr	2.480	1.007	6.210	0.223	1.000	1.000	1.000	1.000	0.906
bk9	maple-court	2	o	0	rrrl	3.390	2.301	26.577	1.000	1.000	1.000	0.712	0.277	0.165
bk9	maple-court	2	c	0	rrrr	3.379	1.593	18.251	1.000	1.000	1.000	0.720	0.983	0.428
bk9	maple-court	2	c	1	lll	6.901	1.933	93.663	1.000	1.000	1.000	0.000	0.687	0.000
bk9	maple-court	2	c	1	lrlr	4.220	1.985	35.741	1.000	1.000	1.000	0.134	0.624	0.038
bk9	maple-court	2	o	1	lrrllr	3.460	1.372	16.514	1.000	1.000	1.000	0.903	1.000	0.499
bk9	maple-court	2	c	1	lrrlr	5.633	1.980	63.237	1.000	1.000	1.000	0.519	0.631	0.000
bk9	maple-court	2	o	1	rllrl	5.436	1.029	30.509	1.000	1.000	1.000	1.000	1.000	0.093
bk9	maple-court	2	c	1	rllrrl	3.474	1.620	19.610	1.000	1.000	1.000	0.669	0.972	0.375
bk9	maple-court	2	c	1	rllrrr	3.305	1.710	18.735	1.000	1.000	1.000	0.000	0.915	0.408
bk9	maple-court	2	c	1	rlrll	3.118	1.872	18.333	1.000	1.000	1.000	0.110	0.758	0.424
bk9	maple-court	2	o	1	rlrrr	2.357	2.467	13.816	0.101	1.000	1.000	1.000	0.154	0.615
bk9	maple-court	2	c	1	rrrr	3.379	1.593	18.251	1.000	1.000	1.000	0.720	0.983	0.428
bk9	maple-court	2	c	2	llll	6.901	1.578	76.175	1.000	1.000	1.000	0.000	0.988	0.000
bk9	maple-court	2	c	2	lrlr	4.220	1.985	35.741	1.000	1.000	1.000	0.551	0.624	0.038
bk9	maple-court	2	o	2	rlllr	5.448	1.454	43.371	1.000	1.000	1.000	1.000	1.000	0.008
bk9	maple-court	2	c	2	rllrrl	3.474	1.620	19.610	1.000	1.000	1.000	0.639	0.972	0.375
bk9	maple-court	2	o	2	rllrrr	3.305	1.710	18.735	1.000	1.000	1.000	1.000	0.915	0.408
bk9	maple-court	2	c	2	rrlr	4.672	1.366	29.921	1.000	1.000	1.000	0.893	1.000	0.102
bk9	maple-court	2	c	2	rrrr	3.379	1.593	18.251	1.000	1.000	1.000	0.720	0.983	0.428
