arm	programme	seed	klass	level	lid	width	aspect	area	q_width	q_proportion	q_size	q_crinkliness	old_proportion	old_size
baseline	health-centre	2	o	0	rrrrr	0.117	44.714	0.619	0.000	0.688	1.000	1.000	0.000	0.999
baseline	harbor-house	0	o	0	llll	2.544	4.868	32.539	0.314	0.998	1.000	1.000	0.000	0.067
baseline	harbor-house	0	c	0	llrl	3.199	1.919	19.975	1.000	1.000	1.000	0.000	0.703	0.361
baseline	harbor-house	0	c	0	llrr	3.253	1.844	19.830	1.000	1.000	1.000	0.000	0.789	0.367
baseline	harbor-house	0	c	0	lrrr	3.006	1.751	16.059	1.000	1.000	1.000	0.000	0.882	0.518
baseline	harbor-house	0	o	0	rlllr	5.404	1.089	32.321	1.000	1.000	1.000	0.007	1.000	0.070
baseline	harbor-house	0	c	0	rllr	2.675	2.099	15.248	1.000	1.000	1.000	0.000	0.488	0.553
baseline	harbor-house	0	o	0	rlrlrlr	4.093	1.170	19.868	1.000	1.000	1.000	1.000	1.000	0.365
baseline	harbor-house	0	c	0	rlrlrrlr	2.093	2.563	11.401	0.308	1.000	1.000	0.941	0.104	0.718
baseline	harbor-house	0	c	0	rlrlrrrlr	2.446	1.124	6.777	1.000	1.000	1.000	0.999	1.000	0.889
baseline	harbor-house	0	o	0	rlrlrrrr	2.799	2.050	16.337	0.799	1.000	1.000	1.000	0.546	0.506
baseline	harbor-house	0	c	0	rrlr	1.978	2.205	8.734	0.108	1.000	1.000	0.239	0.370	0.823
baseline	harbor-house	0	c	0	rrrll	2.244	2.470	12.632	0.737	1.000	1.000	0.000	0.152	0.666
baseline	harbor-house	0	c	0	rrrlrl	2.207	1.284	6.300	0.627	1.000	1.000	0.965	1.000	0.904
baseline	harbor-house	0	o	1	lllr	6.434	1.899	81.213	1.000	1.000	1.000	1.000	0.728	0.000
baseline	harbor-house	0	c	1	lrlll	5.220	1.628	45.332	1.000	1.000	1.000	0.259	0.968	0.005
baseline	harbor-house	0	o	1	lrllrl	5.184	1.103	30.087	1.000	1.000	1.000	1.000	1.000	0.099
baseline	harbor-house	0	c	1	rllr	2.675	2.099	15.248	1.000	1.000	1.000	0.000	0.488	0.553
baseline	harbor-house	0	c	1	rlrrl	2.855	2.433	20.217	1.000	1.000	1.000	0.917	0.175	0.353
baseline	harbor-house	0	o	1	rlrrr	2.910	2.185	18.826	0.956	1.000	1.000	1.000	0.391	0.405
baseline	harbor-house	0	c	1	rrrll	2.244	2.470	12.632	0.737	1.000	1.000	0.978	0.152	0.666
baseline	harbor-house	0	c	1	rrrr	2.487	1.765	11.050	1.000	1.000	1.000	0.965	0.869	0.732
baseline	harbor-house	1	c	0	llll	3.632	2.212	29.829	1.000	1.000	1.000	1.000	0.363	0.103
baseline	harbor-house	1	o	0	lllrl	5.494	1.130	34.769	1.000	1.000	1.000	1.000	1.000	0.046
baseline	harbor-house	1	c	0	llrr	2.993	1.244	11.266	1.000	1.000	1.000	0.145	1.000	0.723
baseline	harbor-house	1	o	0	lrlr	2.417	4.167	24.971	0.152	0.999	1.000	1.000	0.000	0.204
